id,label
86,вы
85,миграция
84,древний
83,"я"
82,собственный
81,поиск
80,ребенок
79,одаренный
78,драма
77,борьба
76,великий
75,психоанализ
74,стая
73,теория
72,разный
71,такой
70,язык
69,жизненный
68,стареть
67,мы
66,почему
65,парадоксальность
64,квантовый
63,революция
62,биотехнологический
61,к
60,днк
59,структура
58,от
57,клетка
56,живой
55,королева
54,тело
53,код
52,тайный
51,эндокринология
50,популярный
49,мир
48,править
47,гормон
46,планета
45,наш
44,заселяться
43,как
42,век
41,каменный
40,колумб
39,инфекция
38,скрытый
37,тайна
36,вирус
35,многоликий
34,масса
33,народ
32,психология
31,обед
30,гадость
29,радость
28,запоминание
27,искусство
26,наука
25,луна
24,по
23,гулять
22,эйнштейн
21,народ"
20,"тюрьма
19,грязь
18,рабство
17,долготерпение
16,путь
15,особый
14,воровство
13,русский
12,гештальт
11,любовь
10,сексуальность
9,
8,время
7,и
6,пространство
5,о
4,книга
3,три
2,хокинг
1,стивен
0,вселенная
